,No NestedLoop Join,Default
Query 1a,13306.596,12565.077
Query 1b,13536.012,334.28
Query 1c,12559.822,9.459
Query 1d,12511.571,9.459
Query 2a,16631.456,142567.894
Query 2b,17760.188,110075.037
Query 2c,25595.992,42866.887
Query 2d,17416.577,306363.058
Query 3a,47724.417,222051.661
Query 3b,53567.977,157119.37
Query 3c,49287.788,307976.104
Query 4a,14254.385,83825.83
Query 4b,13660.639,200075.111
Query 4c,13850.662,94717.9
Query 5a,14202.445,4065.303
Query 5b,3918.738,4004.615
Query 5c,46871.184,77567.381
Query 6a,73054.426,105061.218
Query 6b,73277.351,1439207.83
Query 6c,75479.431,636.044
Query 6d,73200.913,3213633.456
Query 6e,79581.117,96514.86
Query 6f,91141.875,3173386.843
Query 7a,77439.151,2912292.454
Query 7b,87684.494,1494324.573
Query 7c,2806392.62,776036.426
Query 8a,81438.292,2613178.418
Query 8b,76570.213,71520.066
Query 8c,343578.099,525558.007
Query 8d,333414.282,554526.65
Query 9a,84818.634,69926.281
Query 9b,137871.58,14317.826
Query 9c,230065.156,321204.583
Query 9d,277176.294,1262101.186
Query 10a,67557.602,1232588.789
Query 10b,63678.573,860410.076
Query 10c,77897.287,80018.344
Query 11a,20343.852,160716.808
Query 11b,19712.87,77701.777
Query 11c,24092.623,136466.565
Query 11d,25016.316,295807.972
Quary 12a,48534.041,627848.95
Query 12b,46414.074,476.499
Query 12c,55992.848,762301.695
Query 13a,52289.385,560912.256
Query 13b,53267.119,271751.198
Query 13c,55791.915,254453.47
Query 13d,70052.762,514835.094
Query 14a,47427.783,483099.521
Query 14b,46979.587,148632.958
Query 14c,47343.689,560529.509
Query 15a,62300.647,338005.251
Query 15b,52125.498,10609.992
Query 15c,52751.857,181817.672
Query 15d,67771.184,439281.774
Query 16a,83037.646,221993.937
Query 16b,112600.849,3649824.807
Query 16c,85256.064,1416650.813
Query 16d,90541.285,1163524.132
Query 17a,97693.397,3586643.114
Query 17b,121220.968,3417871.811
Query 17c,110603.365,4351703.305
Query 17d,117573.96,3180174.037
Query 17e,114307.504,3314017.358
Query 17f,120604.507,3492051.624
Query 18a,124970.822,496325.118
Query 18b,106124.676,1316863.35
Query 18c,112811.657,4031310.317
Query 19a,126697.964,94425.871
Query 19b,129749.788,19934.828
Query 19c,129745.12,3324569.052
Query 19d,172897.616,2345163.323
Query 20a,503711.395,2855164.021
Query 20b,133229.895,2121455.531
Query 20c,285964.037,2245393.849
Query 21a,57206.089,256601.669
Query 21b,55935.756,182108.474
Query 21c,55759.394,252921.115
Query 22a,54366.506,290839.711
Query 22b,70811.872,252657.211
Query 22c,56140.474,489808.964
Query 22d,58748.224,696066.341
Query 23a,57484.384,307523.143
Query 23b,60035.643,308342.396
Query 23c,62583.484,342525.342
Query 24a,121670.571,688217.482
Query 24b,130134.058,9812.278
Query 25a,111737.696,2230775.067
Query 25b,117366.106,230481.717
Query 25c,124410.383,462125.902
Query 26a,85640.795,3163517.219
Query 26b,82477.306,332652.24
Query 26c,93638.869,2230904.182
Query 27a,53634.581,233305.988
Query 27b,55223.651,93463.449
Query 27c,60123.487,213483.203
Query 28a,58214.469,529939.699
Query 28b,53810.671,381716.57
Query 28c,54134.501,549327.488
Query 29a,116844.051,4181.787
Query 29b,127719.09,18.132
Query 29c,157012.042,176691.192
Query 30a,117897.627,1965783.071
Query 30b,110542.674,117616.825
Query 30c,139805.851,1961984.817
Query 31a,182593.757,646529.677
Query 31b,136357.237,247158.285
Query 31c,122002.491,642397.758
Query 32a,37.277,21.818
Query 32b,19067.005,420512.981
Query 33a,18701.388,482340.545
Query 33b,21055.633,476082.431
Query 33c,20954.966,495896.29
